pasta	nome	bytes	modificado	url
Parte 1/Pet15478	00007 Documento comprobatorio - Documento comprobatorio_b03891ab.pdf	10200104	2026-09-14T00:39:15Z	/sites/STI--CRCS/Shared Documents/-CRCS/Compartilhamento Externo/Processos Judiciais/Arquivos Pet 16704/Parte 1/Pet15478/00007 Documento comprobatorio - Documento comprobatorio_b03891ab.pdf
Parte 1/Pet15478	00016 Recibo de peticao eletronica - Recibo de Peticao Eletronica _baf9d6c6.pdf	117125	2026-09-14T00:39:15Z	/sites/STI--CRCS/Shared Documents/-CRCS/Compartilhamento Externo/Processos Judiciais/Arquivos Pet 16704/Parte 1/Pet15478/00016 Recibo de peticao eletronica - Recibo de Peticao Eletronica _baf9d6c6.pdf
Parte 1/Pet15478	00023 Recibo de peticao eletronica - Recibo de Peticao Eletronica _f9480eee.pdf	117123	2026-09-14T00:39:15Z	/sites/STI--CRCS/Shared Documents/-CRCS/Compartilhamento Externo/Processos Judiciais/Arquivos Pet 16704/Parte 1/Pet15478/00023 Recibo de peticao eletronica - Recibo de Peticao Eletronica _f9480eee.pdf
Parte 1/Pet15478	00027 Recibo de peticao eletronica - Recibo de Peticao Eletronica _689f39a6.pdf	117879	2026-09-14T00:39:15Z	/sites/STI--CRCS/Shared Documents/-CRCS/Compartilhamento Externo/Processos Judiciais/Arquivos Pet 16704/Parte 1/Pet15478/00027 Recibo de peticao eletronica - Recibo de Peticao Eletronica _689f39a6.pdf
Parte 1/Pet15478	00008 Documento comprobatorio - Documento comprobatorio_3a0fe829.pdf	2418046	2026-09-14T00:39:15Z	/sites/STI--CRCS/Shared Documents/-CRCS/Compartilhamento Externo/Processos Judiciais/Arquivos Pet 16704/Parte 1/Pet15478/00008 Documento comprobatorio - Documento comprobatorio_3a0fe829.pdf
Parte 1/Pet15478	00011 Certidao - Certidao de distribuicao de processo_02bdae46.pdf	60830	2026-09-14T00:39:15Z	/sites/STI--CRCS/Shared Documents/-CRCS/Compartilhamento Externo/Processos Judiciais/Arquivos Pet 16704/Parte 1/Pet15478/00011 Certidao - Certidao de distribuicao de processo_02bdae46.pdf
Parte 1/Pet15478	00024 Intimacao - Intimacao de Despacho, Decisao ou Acordao_d2c5756b.pdf	565802	2026-09-14T00:39:15Z	/sites/STI--CRCS/Shared Documents/-CRCS/Compartilhamento Externo/Processos Judiciais/Arquivos Pet 16704/Parte 1/Pet15478/00024 Intimacao - Intimacao de Despacho, Decisao ou Acordao_d2c5756b.pdf
Parte 1/Pet15478	00032 Peticao inicial - Peticao inicial_fe216871.pdf	2279387	2026-09-14T00:39:15Z	/sites/STI--CRCS/Shared Documents/-CRCS/Compartilhamento Externo/Processos Judiciais/Arquivos Pet 16704/Parte 1/Pet15478/00032 Peticao inicial - Peticao inicial_fe216871.pdf
Parte 1/Pet15478	00025 Peticao - OFICIO 281072026-BCBSECRE - Banco Central do Brasil_972cd596.pdf	241370	2026-09-14T00:39:15Z	/sites/STI--CRCS/Shared Documents/-CRCS/Compartilhamento Externo/Processos Judiciais/Arquivos Pet 16704/Parte 1/Pet15478/00025 Peticao - OFICIO 281072026-BCBSECRE - Banco Central do Brasil_972cd596.pdf
Parte 1/Pet15478	00034 Recibo de peticao eletronica - Recibo de Peticao Eletronica _aaebbb31.pdf	117913	2026-09-14T00:39:15Z	/sites/STI--CRCS/Shared Documents/-CRCS/Compartilhamento Externo/Processos Judiciais/Arquivos Pet 16704/Parte 1/Pet15478/00034 Recibo de peticao eletronica - Recibo de Peticao Eletronica _aaebbb31.pdf
