id;tipo_epistemico;atribuida_a;texto;entidades;documento_id;titulo_documento;incidente;pagina;trecho_fonte;data_andamento;modelo;prompt_version;url_documento
1;fato_processual;;A secretaria certifica que retificou a autuação dos autos para incluir o advogado constituído por Ana Cláudia Queiroz de Paiva, conforme a petição nº 112079/2026.;ANA CLÁUDIA QUEIROZ DE PAIVA;1;Certidão;7514886;1;Certifico que retifiquei a autuação destes autos para incluir o advogado constituídos por ANA CLÁUDIA QUEIROZ DE PAIVA, conforme a petição nº 112079/2026 (ID 4ab6cb24).;2026-09-11;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15390333034&ext=.pdf
2;fato_processual;;A Secretaria Judiciária faz remessa dos autos com vista ao Procurador-Geral da República, em 28 de agosto de 2026.;Procurador-Geral da República | Secretaria Judiciária;2;Vista à PGR;7514886;1;De ordem, a Secretaria Judiciária faz remessa destes autos com vista ao Excelentíssimo Senhor Procurador-Geral da República. Brasília, 28 de agosto de 2026.;2026-08-28;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15389821974&ext=.pdf
3;fato_processual;;A Secretaria Judiciária faz remessa dos autos com vista ao Procurador-Geral da República, em 26 de agosto de 2026.;Procurador-Geral da República | Secretaria Judiciária;3;Vista à PGR;7514886;1;De ordem, a Secretaria Judiciária faz remessa desses autos com vista ao Excelentíssimo Senhor Procurador-Geral da República.;2026-08-26;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15389660240&ext=.pdf
4;fato_processual;;Em 25/08/2026, o relator, Ministro André Mendonça, determinou a abertura de vista à Procuradoria-Geral da República para manifestação sobre o pedido formulado por Leonardo Augusto Furtado Palhares (e-doc. 522).;LEONARDO AUGUSTO FURTADO PALHARES | MIN. ANDRÉ MENDONÇA | Procuradoria-Geral da República;4;Despacho;7514886;2;Abra-se vista à Procuradoria-Geral da República, para manifestação sobre o pedido formulado por LEONARDO AUGUSTO FURTADO PALHARES (e-doc. 522). Brasília, 25 de agosto de 2026.;2026-08-26;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15389657076&ext=.pdf
5;fato_processual;;Consta dos autos pedido formulado por Leonardo Augusto Furtado Palhares, registrado como e-doc. 522.;LEONARDO AUGUSTO FURTADO PALHARES;4;Despacho;7514886;2;pedido formulado por LEONARDO AUGUSTO FURTADO PALHARES (e-doc. 522);2026-08-26;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15389657076&ext=.pdf
6;fato_processual;;A Secretaria Judiciária remete os autos com vista ao Procurador-Geral da República, em 15 de agosto de 2026.;Procurador-Geral da República | Secretaria Judiciária;5;Vista à PGR;7514886;1;De ordem, a Secretaria Judiciária faz remessa desses autos com vista ao Excelentíssimo Senhor Procurador-Geral da República.;2026-08-15;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15389292598&ext=.pdf
7;fato_processual;;O Ministro André Mendonça determina a abertura de vista à Procuradoria-Geral da República para manifestação sobre o pedido formulado por Fabiano Campos Zettel, em 14 de agosto de 2026.;FABIANO CAMPOS ZETTEL | ANDRÉ MENDONÇA | Procuradoria-Geral da República;6;Despacho;7514886;2;Abra-se vista à Procuradoria-Geral da República, para manifestação sobre o pedido formulado por FABIANO CAMPOS ZETTEL (e-doc. 506).;2026-08-15;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15389292065&ext=.pdf
8;fato_processual;;A Gerência de Processos Originários Criminais certifica a retificação da autuação dos autos para incluir os novos advogados constituídos por Fabiano Campos Zettel, conforme as petições nº 99686/2026 e nº 101706/2026, em 15 de agosto de 2026.;Fabiano Campos Zettel | Gerência de Processos Originários Criminais;7;Certidão;7514886;1;Certifico que retifiquei a autuação destes autos para incluir os novos advogados constituídos por Fabiano Campos Zettel, conforme as petições nº 99686/2026 (ID 9a4fb914) e 101706/2026 (ID 2bbd3fa6).;2026-08-15;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15389292597&ext=.pdf
9;fato_processual;;A Secretaria Judiciária do Supremo Tribunal Federal intima o Procurador-Geral da República do inteiro teor da decisão monocrática constante dos autos (peça ID: 80ad212b), publicada no DJe, em 06 de agosto de 2026.;PROCURADOR-GERAL DA REPÚBLICA | Secretaria Judiciária | Supremo Tribunal Federal;8;Intimação;7514886;1;De ordem, a Secretaria Judiciária do Supremo Tribunal Federal INTIMA a parte abaixo identificada, ou quem as suas vezes fizer, do inteiro teor do(a) despacho/decisão constante dos autos (ID da peça: 80ad212b), publicado no DJe (art. 270 do Código de Processo Civil e art 5 da Lei 11.419/2006).;2026-08-06;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15389036992&ext=.pdf
10;fato_processual;;A intimação foi recebida automaticamente pelo sistema, em 06/08/2026.;;8;Intimação;7514886;1;A intimação foi recebida automaticamente pelo sistema, em 06/08/2026, nos termos do art. 5º, §3 da Lei 11.419/2006.;2026-08-06;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15389036992&ext=.pdf
11;fato_processual;;Houve vista à PGR para fins de intimação em 27/07/2026.;PGR;8;Intimação;7514886;1;Vista à PGR para fins de intimação - 27/07/2026;2026-08-06;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15389036992&ext=.pdf
12;fato_processual;;A Secretaria Judiciária informou que os autos foram disponibilizados à autoridade policial, em 28 de julho de 2026.;Secretaria Judiciária | autoridade policial;9;Termo de disponibilização de autos;7514886;1;A Secretaria Judiciária informa que, nesta data, os autos foram disponibilizados à autoridade policial. Brasília, 28 de julho de 2026.;2026-07-28;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388928807&ext=.pdf
13;fato_processual;;Em despacho de 27 de julho de 2026, o relator Ministro André Mendonça determina a abertura de vista à autoridade policial para manifestação sobre a viabilidade do pedido de espelhamento de dispositivos eletrônicos apreendidos de Paulo Sérgio Neves de Souza.;Paulo Sérgio Neves de Souza | ANDRÉ MENDONÇA | autoridade policial;10;Despacho;7514886;2;"Abra-se vista à autoridade policial para manifestação sobre a
viabilidade do pedido de espelhamento de dispositivos eletrônicos
apreendidos de Paulo Sérgio Neves de Souza (e-doc. 474).";2026-07-28;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388926913&ext=.pdf
14;fato_processual;;O relator determina que, com a vinda da manifestação policial, seja dada vista ao Ministério Público Federal.;Ministério Público Federal;10;Despacho;7514886;2;"Com a vinda da manifestação policial, dê-se vista ao Ministério
Público Federal.";2026-07-28;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388926913&ext=.pdf
15;fato_processual;;A Petição 15.556, do Distrito Federal, tem como relator o Ministro André Mendonça.;ANDRÉ MENDONÇA;11;Decisão monocrática;7514886;1;PETIÇÃO 15.556 DISTRITO FEDERAL RELATOR :MIN. ANDRÉ MENDONÇA;2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
16;fato_processual;;A Controladoria-Geral da União encaminhou ao relator, via correspondência eletrônica, o Ofício nº 3848/2026/SIPRI/CGU, vinculado ao processo SEI nº 40096330.;Controladoria-Geral da União – CGU;11;Decisão monocrática;7514886;2;Trata-se de ofício encaminhado pela Controladoria-Geral da União – CGU (nº 3848/2026/SIPRI/CGU, vinculado ao processo SEI nº 40096330) a este relator, via correspondência eletrônica, que acompanha esta decisão;2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
17;alegacao_parte;Controladoria-Geral da União (CGU);A CGU busca o compartilhamento de elementos informativos de processos judiciais relacionados à “Operação Compliance Zero”, com vistas à instrução de investigações preliminares, sindicâncias patrimoniais e eventual instauração de PAR e PAD.;Controladoria-Geral da União – CGU;11;Decisão monocrática;7514886;2;se busca o compartilhamento de elementos informativos constantes de processos judiciais relacionados à denominada “Operação Compliance Zero”, com vistas à instrução de investigações preliminares, sindicâncias patrimoniais e eventual instauração de Processo Administrativo de Responsabilização (PAR);2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
18;alegacao_parte;Controladoria-Geral da União (CGU);O pedido da CGU refere-se aos agentes públicos PAULO SÉRGIO NEVES DE SOUZA e BELLINE SANTANA e a pessoas jurídicas, entre elas VARAJO CONSULTORIA EMPRESARIAL.;PAULO SÉRGIO NEVES DE SOUZA | BELLINE SANTANA | Controladoria-Geral da União – CGU;11;Decisão monocrática;7514886;2;referente aos agentes públicos PAULO SÉRGIO NEVES DE SOUZA e BELLINE SANTANA e das pessoas jurídicas VARAJO CONSULTORIA EMPRESARIAL;2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
19;alegacao_parte;Controladoria-Geral da União (CGU);O pedido da CGU refere-se também às pessoas jurídicas MORIAH ASSET EMPREENDIMENTOS E PARTICIPAÇÕES LTDA., SUPER EMPREENDIMENTOS E PARTICIPAÇÕES S.A., KING PARTICIPAÇÕES IMOBILIÁRIAS LTDA. e KING MOTORS LOCAÇÃO DE VEÍCULOS e PARTICIPAÇÕES LTDA.;MORIAH ASSET EMPREENDIMENTOS E PARTICIPAÇÕES LTDA. | SUPER EMPREENDIMENTOS E PARTICIPAÇÕES S.A. | KING PARTICIPAÇÕES IMOBILIÁRIAS LTDA. | KING MOTORS LOCAÇÃO DE VEÍCULOS e PARTICIPAÇÕES LTDA.;11;Decisão monocrática;7514886;3;"SOCIEDADE UNIPESSOAL LTDA, MORIAH ASSET EMPREENDIMENTOS E PARTICIPAÇÕES LTDA., SUPER EMPREENDIMENTOS E PARTICIPAÇÕES S.A.; KING PARTICIPAÇÕES IMOBILIÁRIAS LTDA., KING MOTORS LOCAÇÃO DE VEÍCULOS e PARTICIPAÇÕES LTDA.";2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
20;alegacao_parte;Controladoria-Geral da União (CGU);A requerente sustenta que os dados postulados são imprescindíveis à apuração de indícios de autoria e materialidade de ilícitos administrativos atribuídos a agentes públicos e pessoas jurídicas, ressaltando sua competência legal para atuação correcional.;Controladoria-Geral da União – CGU;11;Decisão monocrática;7514886;3;A requerente sustenta que os dados postulados são imprescindíveis à adequada apuração de indícios de autoria e materialidade de ilícitos administrativos atribuídos a agentes públicos e pessoas jurídicas, ressaltando sua competência legal para atuação correcional.;2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
21;fundamento_decisorio;Ministro André Mendonça;O relator afirma que a jurisprudência do STF admite o compartilhamento de elementos informativos entre as esferas penal e administrativa, desde que presentes pertinência temática, finalidade legítima e preservação do regime de sigilo.;ANDRÉ MENDONÇA;11;Decisão monocrática;7514886;3;A jurisprudência desta Suprema Corte consolidou entendimento no sentido da admissibilidade do compartilhamento de elementos informativos entre as esferas penal e administrativa, desde que presentes (i) pertinência temática, (ii) finalidade legítima e (iii) preservação do regime de sigilo;2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
22;fundamento_decisorio;Ministro André Mendonça;O relator invoca precedente segundo o qual o compartilhamento de elementos de informação é amplamente admitido pela jurisprudência do STF quando presente motivação razoável.;ANDRÉ MENDONÇA;11;Decisão monocrática;7514886;4;2. O compartilhamento de elementos de informação é amplamente admitido pela jurisprudência desta Corte quando presente motivação razoável para autorizar a pretensão. Precedentes.;2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
23;fundamento_decisorio;Ministro André Mendonça;O relator cita o precedente Pet 6138 AgR-terceiro-AgR, Segunda Turma, relator Edson Fachin, julgado em 26/06/2023.;ANDRÉ MENDONÇA | Edson Fachin;11;Decisão monocrática;7514886;4;(Pet 6138 AgR-terceiro-AgR, Segunda Turma, Rel. Edson Fachin,j.26/06/2023,p.04/09/2023);2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
24;fundamento_decisorio;Ministro André Mendonça;O relator cita precedente segundo o qual dados obtidos em interceptação telefônica e escutas ambientais judicialmente autorizadas para investigação criminal podem ser usados em procedimento administrativo disciplinar.;ANDRÉ MENDONÇA;11;Decisão monocrática;7514886;4;Dados obtidos em interceptação de comunicações telefônicas e em escutas ambientais, judicialmente autorizadas para produção de prova em investigação criminal ou em instrução processual penal, podem ser usados em procedimento;2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
25;fundamento_decisorio;Ministro André Mendonça;O relator cita o precedente Inq 2424 QO, Tribunal Pleno, relator Cezar Peluso, julgado em 25/04/2007.;ANDRÉ MENDONÇA | Cezar Peluso;11;Decisão monocrática;7514886;5;(Inq 2424 QO, TribunalPleno,Rel.CezarPeluso,j.25/04/2007,p.24/08/2007);2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
26;fundamento_decisorio;Ministro André Mendonça;O relator considera o pleito da CGU juridicamente adequado e compatível com a orientação do Tribunal e com precedentes que admitem prova emprestada em procedimentos administrativos, inclusive oriunda de investigação criminal.;ANDRÉ MENDONÇA | CGU;11;Decisão monocrática;7514886;5;No caso concreto, o pleito formulado pela CGU revela-se juridicamente adequado e compatível com a orientação firmada por este Tribunal, bem como com precedentes que admitem a utilização de prova emprestada em procedimentos administrativos;2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
27;fundamento_decisorio;Ministro André Mendonça;O relator registra que a Controladoria-Geral da União se comprometeu expressamente a resguardar o regime de confidencialidade dos dados compartilhados, o que reforça a adequação e a proporcionalidade da medida.;ANDRÉ MENDONÇA | Controladoria-Geral da União;11;Decisão monocrática;7514886;5;verifica-se que a Controladoria-Geral da União expressamente se comprometeu a resguardar o regime de confidencialidade dos dados eventualmente compartilhados, circunstância que reforça a adequação e a proporcionalidade da medida ora analisada.;2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
28;fundamento_decisorio;Ministro André Mendonça;O relator entende legítimo o deferimento do compartilhamento requerido, desde que observados os limites subjetivos e objetivos pertinentes.;ANDRÉ MENDONÇA;11;Decisão monocrática;7514886;5;mostra-se legítimo o deferimento do compartilhamento requerido, desde que observados os limites subjetivos e objetivos pertinentes.;2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
29;fundamento_decisorio;Ministro André Mendonça;O relator determina que o compartilhamento autorizado observe rigorosamente a Lei nº 13.709/2018, especialmente os princípios da finalidade, adequação, necessidade e segurança.;ANDRÉ MENDONÇA;11;Decisão monocrática;7514886;5;Destaco que o compartilhamento ora autorizado deverá observar, de forma rigorosa, as disposições da Lei nº 13.709/2018, especialmente os princípios da finalidade, adequação, necessidade e segurança;2026-07-27;claude-code/claude-opus-5;extracao_v1-30ce0b328385;https://portal.stf.jus.br/processos/downloadPeca.asp?id=15388907205&ext=.pdf
