data;origem;tipo;processo;incidente;texto;tipo_epistemico;atribuida_a;resultado;documento_id;pagina;trecho_fonte;contexto
2004-03-05;documento;assercao;Pet 15556;7514886;O Ministro Gilmar Mendes cita o HC 80.717/SP (Rel. Min. Sepúlveda Pertence, Red. p/ Acórdão Min. Ellen Gracie, Tribunal Pleno, DJ de 5.3.2004) como caso de prisão fundada na credibilidade das instituições.;fundamento_decisorio;Ministro Gilmar Mendes;;226;13;(HC 80.717/SP, Rel. Min. Sepúlveda Pertence, Red. p/ Acórdão Min. Ellen Gracie, Tribunal Pleno, DJ de 5.3.2004).;referencia
2006-06-16;documento;assercao;Pet 15556;7514886;O Ministro Gilmar Mendes reconhece que nos anos 2000 a jurisprudência sobre credibilidade das instituições não era pacificada, citando acórdão de sua relatoria (HC 86.522/DF).;fundamento_decisorio;Ministro Gilmar Mendes;;226;30;É possível encontrar, inclusive, acórdãos de minha lavra que resultaram na manutenção de segregações cautelares fundadas em tal argumento (HC 86.522/DF, de minha relatoria, Segunda Turma, DJ 16.6.2006, v.g.).;referencia
2008-04-25;documento;assercao;Rcl 88121;7450195;O relator cita o entendimento do Tribunal Pleno no Inq 2411 QO (Rel. Min. Gilmar Mendes, DJe 25/4/2008), segundo o qual a iniciativa do procedimento investigatório deve ser confiada ao MPF com a supervisão do Ministro-Relator do STF.;fundamento_decisorio;Ministro Dias Toffoli (Relator);;222;10;A iniciativa do procedimento investigatório deve ser confiada ao MPF contando com a supervisão do Ministro-Relator do STF” (Inq 2411 QO, Relator o Ministro Gilmar Mendes,TribunalPleno,DJe25/4/2008).;referencia
2009-06-18;documento;assercao;Pet 15556;7514886;A Polícia Federal sustenta que o Decreto nº 6.877, de 18 de junho de 2009, reforça que o sistema federal se destina ao recolhimento de presos cuja custódia exija maior controle estatal, regime de segurança mais rigoroso ou medidas especiais de monitoramento.;alegacao_parte;Polícia Federal;;47;2;A regulamentação da matéria pelo Decreto nº 6.877, de 18 de junho de 2009, reforça que o sistema federal se destina justamente ao recolhimento de presos cuja custódia exija maior controle estatal, regime de segurança mais rigoroso ou medidas especiais de monitoramento;referencia
2011-09-09;documento;assercao;Rcl 88121;7450195;O relator afirma que, segundo reiterada jurisprudência, cabe apenas ao Supremo Tribunal Federal decidir sobre a remessa de investigações envolvendo autoridade com prerrogativa de foro na Corte, citando a Rcl 7913 AgR (Tribunal Pleno, DJe de 9/9/2011).;fundamento_decisorio;Ministro Dias Toffoli (Relator);;222;8;Segundo reiterada jurisprudência desta Corte, cabe apenas ao Supremo Tribunal Federal decidir sobre a remessa de investigações envolvendo autoridade com prerrogativa de foro na Corte (Rcl 7913 Agr, de minha relatoria, Tribunal Pleno, DJe de 9/9/2011).;referencia
2018-09-06;documento;assercao;Rcl 88121;7450195;O relator afirma que somente o Supremo Tribunal Federal detém competência para determinar quais elementos probatórios podem ser utilizados ou segregados, citando a Rcl 24473 (Segunda Turma, DJe 6/9/2018).;fundamento_decisorio;Ministro Dias Toffoli (Relator);;222;13;Nessas circunstâncias, somente o Supremo Tribunal Federal detém competência para determinar quais elementos probatórios podem ser utilizados ou segregados (Rcl 24473, de minha relatoria, Segunda Turma, DJe 6/9/2018).;referencia
2021-04-14;documento;assercao;Inq 5026;7473347;O relator afirma que a instalação das CPIs depende do requerimento de um terço dos membros das casas legislativas, da indicação de fato determinado e da definição de prazo certo, citando o MS nº 3.776-MC-Ref/DF, relator Min. Luís Roberto Barroso.;fundamento_decisorio;Ministro André Mendonça;;95;7;"depende exclusivamente (i) do requerimento de um terço dos membros das casas legislativas; (ii) da indicação de fato determinado a ser apurado; e (iii) da definição de prazo certo para sua duração (MS nº 3.776 -MC-Ref/DF, Rel. Min. Luís Roberto Barroso, Tribunal Pleno, j. 14/04/2021).";referencia
2021-08-31;documento;assercao;Pet 15556;7514886;A CVM invoca o art. 5º da Resolução CVM nº 45, de 31 de agosto de 2021, que determina a oitiva prévia do investigado antes da formulação de acusação formal em processo sancionador.;alegacao_parte;Comissão de Valores Mobiliários (CVM);;13;4;invoca o art. 5º da Resolução CVM nº 45, de 31 de agosto de 2021, que determina a oitiva prévia do investigado antes da formulação de acusação formal em processo sancionador;referencia
2024-04-09;documento;assercao;Pet 15198;7473336;Thiago Assumpção Henriques narra que o PORSCHE PANAMERA, placa RTY1A00, foi adquirido mediante Cédula de Crédito Bancário firmada com o ITAÚ UNIBANCO S.A. em 9 de abril de 2024, com garantia fiduciária em favor da instituição credora.;alegacao_parte;Thiago Assumpção Henriques;;140;4;Narra o requerente que o PORSCHE PANAMERA, placa RTY1A00, foi adquirido mediante Cédula de Crédito Bancário, firmada com o ITAÚ UNIBANCO S.A. em 9 de abril de 2024, com garantia fiduciária constituída em favor da instituição credora.;referencia
2024-05-21;documento;assercao;Pet 15198;7473336;A Procuradoria da República em São Paulo afirma que, em 21.5.2024, o Fundo ASTRALO 95 resgatou aproximadamente R$ 800 milhões em CDBs, transferindo R$ 650 milhões para o FIP TERMÓPILAS.;alegacao_parte;Procuradoria da República em São Paulo;;183;12;em 21.5.2024, o Fundo ASTRALO 95 resgatou aproximadamente R$ 800 milhões em CDBs, transferindo R$ 650 milhões para o FIP TERMÓPILAS;referencia
2025-05-27;documento;assercao;Pet 15198;7473336;O Inquérito está em curso perante a 8ª Vara Criminal Federal de São Paulo desde 27 de maio de 2025.;fato_processual;;;183;5;um relato preciso de tudo o que se contém no Inquérito em curso perante a 8ª Vara Criminal Federal de São Paulo desde 27 de maio de 2025;caso
2025-07-04;documento;assercao;Pet 15198;7473336;Thiago Assumpção Henriques narra que o PORSCHE MACAN, placa RTK9H99, foi financiado junto ao CAR BANK, contrato nº 55224624, iniciado em 4 de julho de 2025, também com alienação fiduciária.;alegacao_parte;Thiago Assumpção Henriques;;140;4;O PORSCHE MACAN, placa RTK9H99, por sua vez, foi financiado junto ao CAR BANK, contrato nº 55224624, iniciado em 4 de julho de 2025, também com alienação fiduciária.;caso
2025-08-20;documento;assercao;Pet 15556;7514886;O relator cita o HC nº 260.221, de 20/08/2025, sobre precedentes que legitimam a tutela cautelar para interromper a atuação de integrantes de organização criminosa.;fundamento_decisorio;Ministro André Mendonça;;224;38;E na linha do quanto recentemente pontuado pelo HC nº 260.221, de 20/08/2025, esta Corte registra diversos “precedentes no sentido de ser legítima a tutela cautelar que tenha por fim resguardar a ordem pública quando evidenciada a necessidade de se interromper ou diminuir a atuação de integrantes;caso
2025-10-27;documento;assercao;Pet 15198;7473336;Em 27.10.2025, a Procuradoria da República em São Paulo manifestou-se pelo deferimento parcial dos pedidos formulados pela autoridade policial.;alegacao_parte;Procuradoria da República em São Paulo;;183;1;Em 27.10.2025, a Procuradoria da República em São Paulo manifestou-se pelo deferimento parcial dos pedidos formulados.;caso
2025-10-27;documento;assercao;Pet 15198;7473336;O Procurador-Geral da República afirma que a manifestação de 27.10.2025 da Procuradoria da República em São Paulo discorre em detalhe sobre os indícios concretos trazidos pela autoridade policial e a imprescindibilidade de deferimento das medidas requeridas.;alegacao_parte;Procurador-Geral da República;;183;3;a manifestação de 27.10.2025 apresentada pela Procuradoria da República em São Paulo discorre em detalhe sobre os indícios concretos trazidos pela autoridade policial e a imprescindibilidadededeferimento das medidas requeridas.;caso
2025-10-27;documento;assercao;Pet 15198;7473336;A manifestação da Procuradoria da República em São Paulo de 27.10.2025 consta dos autos no e-doc. 12, fls. 3650/3655.;fato_processual;;;183;5;manifestação Procuradoria da República em São Paulo, realizada no dia 27.10.2025, conforme reproduzido abaixo (e-doc. 12, fls. 3650/3655);caso
2025-10-27;documento;assercao;Pet 15198;7473336;O relator considera que a manifestação de 27.10.2025 da Procuradoria da República em São Paulo discorre em detalhe sobre os indícios concretos trazidos pela autoridade policial e estabelece o vínculo necessário à concessão das medidas requeridas, sem prejuízo de revisão do quadro fático probatório no transcurso das investigações.;fundamento_decisorio;Ministro Dias Toffoli;;183;19;a manifestação de 27.10.2025 apresentada pela Procuradoria da República em São Paulo discorre em detalhe sobre os indícios concretos trazidos pela autoridade policial e a imprescindibilidade de deferimento das medidas requeridas, estabelecendo o vínculo necessário à concessão das medidas requeridas;caso
2025-11-18;documento;assercao;Pet 15556;7514886;A primeira fase da operação foi deflagrada em 18 de novembro de 2025, ocasião em que foi apreendido o primeiro celular de Daniel Bueno Vorcaro.;fato_processual;;;224;4;primeiro celular do investigado Daniel Bueno Vorcaro, apreendido durante a realização da primeira fase da operação, deflagrada precisamente em 18 de novembro de 2025.;caso
2025-11-24;documento;assercao;Pet 15198;7473336;Em decisão de 24.11.2025, o Juízo da 8ª Vara Criminal Federal da Seção Judiciária de São Paulo solicitou esclarecimentos sobre as medidas requeridas pela autoridade policial.;fato_processual;;;183;1;Em decisão de 24.11.2025, o Juízo da 8ª Vara Criminal Federal da Seção Judiciária de São Paulo solicitou esclarecimentos sobre as medidas requeridas pela autoridade policial.;caso
2025-11-27;documento;assercao;Pet 15198;7473336;Em 27.11.2025, a Polícia Federal forneceu as informações solicitadas pelo Juízo, procedendo à individualização dos valores dos pedidos de sequestro e bloqueio de bens e esclarecendo o período de quebra de sigilo fiscal.;fato_processual;;;183;1;A Polícia Federal, em 27.11.2025, forneceu as informações solicitadas. Procedeu à individualização dos valores dos pedidos de sequestro e bloqueio de bens. Esclareceu o período de quebra de sigilo fiscal.;caso
2025-11-27;documento;assercao;Pet 15198;7473336;A Procuradoria-Geral da República encampa parcialmente a manifestação da Procuradoria da República em São Paulo, com a retificação proposta pela autoridade policial em 27.11.2025, afastando o pedido de prisão de Daniel Bueno Vorcaro.;alegacao_parte;Procurador-Geral da República;;183;4;a Procuradoria-Geral da República encampa parcialmente a manifestação da Procuradoria da República em São Paulo, com a retificação proposta pela autoridade policial em 27.11.2025, afastando, porém, o pedido deprisão deDanielBueno Vorcaro.;caso
2025-11-28;documento;assercao;Pet 15556;7514886;A Polícia Federal sustenta que o mesmo modus operandi está em investigação no Inq. 5035 e que as ações prosseguiram após a prisão e sua revogação pelo TRF1 em 28 de novembro de 2025, com a contratação de influencers para o “Projeto DV” em dezembro de 2025.;alegacao_parte;Polícia Federal;;55;23;Esse mesmo modus operandi está em investigação nos autos do Inq. 5035, cujas ações prosseguiram mesmo após sua prisão e posterior revogação pelo TRF1, no dia 28 de novembro de 2025, uma vez que a contratação de influencers para a execução do “Projeto DV” foi colocada em prática logo depois;caso
2025-11-28;documento;assercao;Pet 15556;7514886;A Polícia Federal afirma que DANIEL VORCARO foi posto em liberdade em 28/11/2025 e sustenta que a organização continuou a ocultar recursos em nome de terceiros após essa data.;alegacao_parte;Polícia Federal;;55;25;mesmo após ser posto em liberdade, o que ocorreu no dia 28/11/2025, a organização criminosa continuou a ocultar recursos bilionários em nome de terceiros;caso
2025-11-28;documento;assercao;Rcl 88121;7450195;Em 28 de novembro de 2025, o relator determinou a emenda à inicial, solicitou informações à autoridade reclamada e concedeu vista à Procuradoria-Geral da República (doc. 23).;fato_processual;;;222;3;Em 28 de novembro de 2025, determinei a emenda à inicial, solicitei informações à autoridade reclamada e concedi vista à Procuradoria-Geral da República (doc. 23).;caso
2025-11-28;documento;assercao;Rcl 88121;7450195;Em 28 de novembro de 2025, a Desembargadora Solange Salgado concedeu parcialmente o habeas corpus, determinando a substituição da prisão preventiva por medidas cautelares (doc. 34).;fato_processual;;;222;7;Em 28 de novembro de 2025, a Desembargadora Solange Salgado concedeu parcialmente o habeas corpus, determinando a substituição da prisão preventiva por medidas cautelares (doc. 34).;caso
2025-11-28;documento;assercao;Rcl 88121;7450195;A Rcl 88121 foi autuada em 28/11/2025 às 13:34:17, com assunto Direito Processual Penal, Medidas Assecuratórias, Busca e Apreensão de Bens, e Investigação Penal.;fato_processual;;;223;1;Data de autuação: 28/11/2025 às 13:34:17 Outros Dados: Folhas: Não informado. Volumes: Não informado. Apensos: Não informado. Assunto: DIREITO PROCESSUAL PENAL | Medidas Assecuratórias | Busca e Apreensão de Bens, DIREITO PROCESSUAL PENAL | Investigação Penal;caso
2025-11-28;documento;assercao;Pet 15556;7514886;A Polícia Federal afirma que a prisão foi revogada pelo TRF1 em 28 de novembro de 2025 e que a contratação de influencers para o “Projeto DV” foi colocada em prática em dezembro de 2025.;alegacao_parte;Polícia Federal;;224;32;cujas ações prosseguiram mesmo após sua prisão e posterior revogação pelo TRF1, no dia 28 de novembro de 2025, uma vez que a contratação de influencers para a execução do “Projeto DV” foi colocada em prática logo depois, isto é, no mês de dezembro de 2025;caso
2025-11-28;documento;assercao;Pet 15556;7514886;A Polícia Federal afirma que Daniel Vorcaro foi posto em liberdade em 28/11/2025 e que a organização continuou a ocultar recursos em nome de terceiros.;alegacao_parte;Polícia Federal;;224;34;mesmo após ser posto em liberdade, o que ocorreu no dia 28/11/2025, a organização criminosa continuou a ocultar recursos bilionários em nome de terceiros;caso
2025-11-28;portal;andamento;Rcl 88121;7450195;Distribuído — MIN. DIAS TOFFOLI. APOSENTADORIA: Excluído(a) da distribuição MIN. LUÍS ROBERTO BARROSO de 10/10/2025 a 10/12/2025, motivo: Art. 67 - § 13º RISTF;;;;;;;caso
2025-11-28;portal;andamento;Rcl 88121;7450195;Autuado;;;;;;;caso
2025-11-29;portal;andamento;Rcl 88121;7450195;Despacho — 28/11/2025;;;;;;;caso
