id,fonte,secao,numero,titular,segmento,comunicante,local,periodo_inicio,periodo_fim,valor_reais,creditos_reais,debitos_reais,pagina_inicio,pagina_fim,n_participacoes,n_transacoes,n_bens,ocorrencias
11,140515.2.9294.11521,automatica,1.1,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,Notários e Registradores,cartório de notas de São Paulo,São Paulo-SP,2022-03-14,2022-03-14,38000000.00,,,9,10,4,0,1,"CNJ - Provimento 88/2019, art. 25-II; Provimento 149/2023, art. 161-II 25-II"
12,140515.2.9294.11521,automatica,1.2,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,Notários e Registradores,cartório de notas de São Paulo,São Paulo-SP,2022-05-10,2022-05-10,8700000.00,,,10,10,4,0,1,"CNJ - Provimento 88/2019, art. 25-II; Provimento 149/2023, art. 161-II 25-II"
13,140515.2.9294.11521,automatica,1.3,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,Notários e Registradores,cartório de notas de São Paulo,São Paulo-SP,2022-08-11,2022-08-11,10340000.00,,,10,10,4,0,1,"CNJ - Provimento 88/2019, art. 25-II; Provimento 149/2023, art. 161-II 25-II"
14,140515.2.9294.11521,automatica,1.4,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,Notários e Registradores,cartório de notas de São Paulo,São Paulo-SP,2022-08-22,2022-08-22,8500000.00,,,10,10,3,0,1,"CNJ - Provimento 88/2019, art. 25-II; Provimento 149/2023, art. 161-II 25-II"
15,140515.2.9294.11521,automatica,1.5,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,Notários e Registradores,cartório de notas de São Paulo,São Paulo-SP,2023-05-10,2023-05-10,30903911.00,,,10,11,3,1,1,"CNJ - Provimento 88/2019, art. 25-II; Provimento 149/2023, art. 161-II 25-II"
16,140515.2.9294.11521,automatica,1.6,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,Notários e Registradores,cartório de notas de São Paulo,São Paulo-SP,2024-02-20,2024-02-20,7000000.00,,,11,11,3,0,1,"CNJ - Provimento 88/2019, art. 25-II; Provimento 149/2023, art. 161-II 25-II"
17,140515.2.9294.11521,automatica,1.7,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,Notários e Registradores,cartório de notas de São Paulo,São Paulo-SP,2024-03-08,2024-03-08,43710000.00,,,11,11,5,0,1,"CNJ - Provimento 88/2019, art. 25-II; Provimento 149/2023, art. 161-II 25-II"
18,140515.2.9294.11521,automatica,1.8,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,Notários e Registradores,9º Tabelião de Notas de São Paulo,São Paulo-SP,2024-04-09,2024-04-09,48000000.00,,,11,12,4,1,1,"CNJ - Provimento 88/2019, art. 25-II; Provimento 149/2023, art. 161-II 25-II"
19,140515.2.9294.11521,automatica,1.9,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,Notários e Registradores,9º Tabelião de Notas de São Paulo,São Paulo-SP,2024-04-10,2024-04-10,16990000.00,,,12,12,4,1,1,"CNJ - Provimento 88/2019, art. 25-II; Provimento 149/2023, art. 161-II 25-II"
20,140515.2.9294.11521,especie,1.1,PIPE PARTICIPACOES LTDA.,Notários e Registradores,tabelião de notas de Guaxupé-MG,Guaxupé-MG,2024-08-23,2024-08-23,240000.00,,,12,13,5,0,1,"CNJ - Provimento CN n. 149/2023, art. 171 (incluído pelo Provimento CN n. 161, de 11.3.2024) 171"
